company_name,ticker,industry,product,last_known_valuation,as_of_date,years_of_data,has_3y_history,current_price,shares_outstanding,current_market_cap,tsr_1y,tsr_3y,market_cap_3y_ago,market_cap_cagr_3y
ServiceTitan,TTAN,Field Service,Field Service Management,$9.5B,2026-09-08,1.74,False,81.58000183105469,82746425.0,6750453503.013229,-0.31456894528649626,,,
UiPath,PATH,RPA,Robotic Process Automation,$7B,2026-09-08,2.99,True,14.010000228881836,453429560.0,6352548239.38179,0.18728813579869463,,,
RingCentral,RNG,Communications,Cloud Communications,$5B,2026-09-08,2.99,True,70.19000244140625,73736624.0,5175573818.581055,1.1752945798304277,,,
Dropbox,DBX,Cloud Storage,Cloud Storage & Collaboration,$8.5B,2026-09-08,2.99,True,33.810001373291016,142295014.0,4810994618.752464,0.11437050768792245,,,
Box,BOX,Cloud Storage,Cloud Content Management,$3.5B,2026-09-08,2.99,True,34.29999923706055,137200773.0,4705986409.224117,0.03594076124350609,,,
Bill.com,BILL,Financial Operations,Financial Operations Platform,$9B,2026-09-08,2.99,True,47.599998474121094,85276782.0,4059174693.077957,-0.051792873492102265,,,
Netskope,NTSK,Cloud Security,SASE Platform,$7.5B,2026-09-08,0.97,False,14.350000381469728,267134729.0,3833383463.053812,,,,
Monday.com,MNDY,Work Management,Work OS Platform,$14B,2026-09-08,2.99,True,83.66999816894531,42274119.0,3537075459.323776,-0.5612020065932568,,,
Braze,BRZE,Customer Engagement,Customer Engagement Platform,$5.6B,2026-09-08,2.99,True,30.309999465942383,112631669.0,3413865827.238199,-0.06160990148986967,,,
Wix,WIX,Website Building,Website Builder Platform,$10B,2026-09-08,2.99,True,72.72000122070312,41849511.0,3043296491.005829,-0.524954269983875,,,
Freshworks,FRSH,Customer Engagement,Customer Engagement Suite,$5.2B,2026-09-08,2.99,True,12.100000381469728,236959436.0,2867209265.9928513,-0.07914763582038364,,,
Klaviyo,KVYO,Marketing Automation,Email & SMS Marketing,$9.5B,2026-09-08,2.97,True,17.889999389648438,140897018.0,2520647566.023285,-0.4611446090802892,,,
Five9,FIVN,Contact Center,Contact Center Platform,$8B,2026-09-08,2.99,True,31.229999542236328,74723531.0,2333615838.924282,0.1714178439977685,,,
Marqeta,MQ,Card Issuing,Card Issuing Platform,$4.3B,2026-09-08,2.99,True,16.260000228881836,95911790.0,1559525727.3524666,-0.33141445588330787,,,
Asana,ASAN,Work Management,Work Management Platform,$5.5B,2026-09-08,2.99,True,8.789999961853027,159441754.0,1401493011.5777798,-0.3616557974116019,,,
Amplitude,AMPL,Product Analytics,Product Analytics Platform,$4B,2026-09-08,2.99,True,12.520000457763672,103867086.0,1300415964.266579,0.10503093928251017,,,
Zoom Info,GTM,Sales Intelligence,Go-to-Market Platform,$12B,2026-09-08,2.99,True,3.900000095367432,291110046.0,1135329207.1624174,-0.6338027948299925,,,
PagerDuty,PD,Incident Response,Digital Operations Platform,$2.8B,2026-09-08,2.99,True,13.31999969482422,78649873.0,1047616284.3579636,-0.22422832640433665,,,
